iter	Passed	Remaining
0	1027	1026859
1	1030	514159
2	1035	344133
3	1037	258431
4	1042	207531
5	1045	173144
6	1048	148774
7	1054	130707
8	1056	116341
9	1058	104838
10	1061	95443
11	1064	87606
12	1066	80969
13	1068	75278
14	1071	70342
15	1074	66084
16	1076	62255
17	1078	58845
18	1082	55891
19	1084	53156
20	1087	50686
21	1089	48437
22	1091	46383
23	1094	44489
24	1096	42745
25	1097	41131
26	1099	39637
27	1102	38257
28	1104	36990
29	1107	35797
30	1115	34860
31	1117	33799
32	1119	32798
33	1121	31857
34	1123	30985
35	1129	30248
36	1132	29468
37	1137	28794
38	1139	28074
39	1141	27400
40	1144	26761
41	1146	26144
42	1154	25689
43	1156	25124
44	1163	24695
45	1169	24255
46	1173	23793
47	1180	23409
48	1182	22954
49	1184	22513
50	1189	22127
51	1191	21715
52	1193	21327
53	1198	20995
54	1200	20631
55	1204	20307
56	1207	19969
57	1209	19647
58	1211	19329
59	1214	19026
60	1216	18723
61	1218	18434
62	1222	18181
63	1225	17926
64	1267	18232
65	1269	17972
66	1278	17799
67	1280	17555
68	1282	17309
69	1288	17115
70	1290	16888
71	1294	16678
72	1300	16517
73	1305	16331
74	1308	16132
75	1328	16148
76	1330	15949
77	1332	15756
78	1335	15569
79	1339	15406
80	1345	15262
81	1347	15081
82	1348	14895
83	1353	14758
84	1355	14596
85	1358	14441
86	1362	14295
87	1364	14137
88	1366	13983
89	1370	13855
90	1372	13707
91	1373	13560
92	1377	13431
93	1379	13294
94	1386	13212
95	1388	13079
96	1390	12948
97	1393	12821
98	1395	12697
99	1397	12578
100	1409	12545
101	1412	12433
102	1431	12462
103	1433	12349
104	1435	12236
105	1442	12165
106	1444	12058
107	1448	11962
108	1451	11860
109	1453	11756
110	1456	11661
111	1460	11582
112	1463	11485
113	1465	11391
114	1467	11295
115	1469	11202
116	1471	11105
117	1483	11090
118	1492	11047
119	1494	10957
120	1496	10870
121	1498	10786
122	1500	10700
123	1503	10618
124	1505	10538
125	1508	10463
126	1510	10382
127	1512	10303
128	1514	10226
129	1516	10149
130	1518	10075
